Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,"Метод исследования 
(указывается при необходимости)
",Раздел,Подраздел,Синонимы русский,Синонимы английский
Реальдирон,Реальдирон,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к препаратам интерферона (дополнительно к исследованию 51-13-300)		,Реальдирон; интерферон альфа; рекомбинантный интерферон; иммуномодулятор; противовирусный иммуномодулятор; препарат для стимуляции иммунитета; человеческий интерферон,Realdiron; interferon alpha; recombinant interferon; immunomodulator; antiviral immunomodulator; immune stimulant; human interferon
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Реаферон,Реаферон,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к препаратам интерферона (дополнительно к исследованию 51-13-300)		,Реаферон; интерферон альфа-2b; рекомбинантный интерферон; иммуномодулятор; противовирусный иммуномодулятор; препарат для стимуляции иммунитета; человеческий интерферон,Reaferon; interferon alfa-2b; recombinant interferon; immunomodulator; antiviral immunomodulator; immune stimulant; human interferon
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Иммунал,Иммунал,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к иммуномодуляторам (дополнительно к исследованию 51-13-300)		,Иммунал; эхинацея пурпурная; фитопрепарат для иммунитета; стимулятор иммунитета; иммуномодулятор; растительный иммуномодулятор; препарат эхинацеи,Immunal; Echinacea purpurea; herbal immunostimulant; immune system booster; immunomodulator; plant immunomodulator; echinacea preparation
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Полиоксидоний,Полиоксидоний,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к иммуномодуляторам (дополнительно к исследованию 51-13-300)		,Полиоксидоний; азоксимера бромид; иммуномодулятор; стимулятор иммунитета; противовирусный иммуномодулятор; препарат для стимуляции иммунитета; иммунокорректор,Polyoxidonium; azoximer bromide; immunomodulator; immune system booster; antiviral immunomodulator; immune stimulant; immunocorrector
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Галавит,Галавит,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к иммуномодуляторам (дополнительно к исследованию 51-13-300)		,Галавит; аминофталазон натрия; иммуномодулятор; стимулятор иммунитета; противовоспалительный иммуномодулятор; препарат для стимуляции иммунитета; иммунокорректор,Galavit; aminophthalazone sodium; immunomodulator; immune system booster; anti-inflammatory immunomodulator; immune stimulant; immunocorrector
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Иммунофан,Иммунофан,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к иммуномодуляторам (дополнительно к исследованию 51-13-300)		,Иммунофан; аргинил-альфа-аспартил-лизил-валил-тирозил-аргинин; иммуномодулятор; стимулятор иммунитета; противовирусный иммуномодулятор; пептидный иммуномодулятор; препарат для коррекции иммунитета,Immunofan; arginyl-alpha-aspartyl-lysyl-valyl-tyrosyl-arginine; immunomodulator; immune system booster; antiviral immunomodulator; peptide immunomodulator; immune correction agent
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Иммуномакс,Иммуномакс,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к иммуномодуляторам (дополнительно к исследованию 51-13-300)		,Иммуномакс; лиофилизат для инъекций; иммуномодулятор; стимулятор иммунитета; противовирусный иммуномодулятор; препарат для стимуляции иммунитета; иммунокорректор,Immunomax; lyophilizate for injections; immunomodulator; immune system booster; antiviral immunomodulator; immune stimulant; immunocorrector
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Ликопид,Ликопид,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к иммуномодуляторам (дополнительно к исследованию 51-13-300)		,Ликопид; глюкозаминилмурамилдипептид; иммуномодулятор; стимулятор иммунитета; противовирусный иммуномодулятор; препарат для стимуляции иммунитета; иммунокорректор,Licopid; glucosaminylmuramyl dipeptide; immunomodulator; immune system booster; antiviral immunomodulator; immune stimulant; immunocorrector
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Т-активин,Т-активин,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к иммуномодуляторам (дополнительно к исследованию 51-13-300)		,Т-активин; тимусный препарат; иммуномодулятор; стимулятор иммунитета; препарат тимуса; иммунокорректор; тимоактивный препарат,T-activin; thymus extract; immunomodulator; immune system booster; thymus preparation; immunocorrector; thymic agent
